Age,Gender,Birthplace,Raised,Accent,Familiarity.British,Familiarity.American,Native.Language,L21,L22,L23,L24,L25,L2.Age,Actor,Actor.time,Education,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Sum
48,Male,"Orange, California, USA","Tempe, Arizona; London, England",midatlantic,Extensive,Extensive,English,German 5,French 3,Spanish 3,NA,NA,14,No,NA,Some graduate school,1,1,0,0,1,0,1,1,0,1,1,0,7
26,Female,"Raleigh, United States",NA,American,Moderate,Extensive,English,"Turkish, 3","Spanish, 2",NA,NA,NA,1,No,NA,Master's degree,1,0,0,1,0,1,0,0,1,1,1,0,6
48,male,"Athens, Greece","Athens, Greece",greek,Moderate,Extensive,greek,greek 5,english 5,french 3,NA,NA,6,No,NA,Doctoral degree,1,0,1,1,1,1,0,1,1,1,1,0,9
36,Female,London,"London; Aspley Guise, Bedfordshire; Oxford, Oxfordshire",Oxford,Moderate,Limited,English,"Spanish, 5",NA,NA,NA,NA,11 (French),No,NA,Master's degree,1,1,0,1,1,0,0,0,1,1,0,1,7
25,Female,"Guelph, Canada","Toronto, Canada",Canadian,Limited,Moderate,English,English = 5,Tamil = 4,French =1,NA,NA,"French, 10 years",No,NA,Some graduate school,0,0,1,1,1,1,1,0,1,0,0,1,7
24,Female,"Dalby, Australia","Dalby, Australia",Australian,Moderate,Moderate,English,NA,NA,NA,NA,NA,NA,No,NA,Bachelor's degree,1,1,0,1,1,1,1,0,1,0,0,1,8
26,Female,"Leverkusen, Germany","Kelkheim, Germany",English,Moderate,Limited,German,English = 5,NA,NA,NA,NA,NA,No,NA,Master's degree,0,0,1,1,0,1,0,1,1,0,1,1,7
28,Woman,Paris，France,"Shanghai, China",Mix,Limited,Limited,Mandarin,"French, 5","English, 5","German, 3","Russian, 2",NA,6,No,NA,Master's degree,0,1,0,1,1,0,1,1,1,1,1,0,8
19,Female,Huntingdon - United Kingdom,"Bedford, Cambridge - United Kingdom",SSBE,Moderate,Limited,English ,"French, 3",NA,NA,NA,NA,8,No,NA,High school diploma (or equivalent),0,1,1,1,1,1,1,1,1,1,0,1,10
29,Female,"Chelmsford, UK","Market Rasen, Lincs, UK","Mixed, with northern 'a's and 'u's ",Extensive,Extensive,English,"French, 1","Spanish, 3",NA,NA,NA,11,No,NA,Master's degree,1,1,0,1,1,0,0,1,0,1,1,0,7
32,Male,"Los Angeles, California, USA ","Seattle, WA, USA",American,Moderate,Moderate,Englisg,"Spanish, 1",NA,NA,NA,NA,13,No,NA,Bachelor's degree,1,1,0,1,1,0,1,1,1,1,1,0,9
